Accounting,Male,1652
Accounting,Female,1484
Accounting,Non-Conforming,86
Auditing,Male,26
Auditing,Female,24
Business Development,Non-Conforming,47
Business Development,Female,735
Business Development,Male,805
Engineering,Non-Conforming,185
Engineering,Female,2997
Engineering,Male,3253
Human Resources,Female,829
Human Resources,Non-Conforming,40
Human Resources,Male,873
Legal,Non-Conforming,8
Legal,Male,157
Legal,Female,136
Marketing,Non-Conforming,5
Marketing,Male,246
Marketing,Female,226
Product Management,Non-Conforming,15
Product Management,Female,269
Product Management,Male,332
Research and Development,Male,504
Research and Development,Female,495
Research and Development,Non-Conforming,34
Sales,Male,917
Sales,Non-Conforming,46
Sales,Female,802
Services,Non-Conforming,32
Services,Female,768
Services,Male,816
Support,Female,419
Support,Non-Conforming,36
Support,Male,456
Training,Male,827
Training,Non-Conforming,44
Training,Female,758
